Company Name,Holding Company Name,Customer State Name,Ownership Type,Bundled & Delivery Only Total Customers,Bundled & Delivery Only Total Sales Mwh,"Bundled, Energy Only & Delivery Only Total Revenue $ 000s",Delivery Only Total Customers,Delivery Only Total Sales MWh,Delivery Only Total Revenue $ 000s
NorthWestern Energy South Dakota,NorthWestern Corp,South Dakota,IOU," 64,971 "," 1,664,951 "," 185,099 ",,,
Otter Tail Power Co,Otter Tail Corp,South Dakota,IOU," 11,959 "," 496,676 "," 40,410 ",,,
Entergy Arkansas LLC,Entergy Corp,Tennessee,IOU, 7 , 64 , 10 ,,,
Kingsport Power Co,American Electric Power Co Inc,Tennessee,IOU," 49,489 "," 1,802,729 "," 207,707 ",,,
AEP Texas Central Company,American Electric Power Co Inc,Texas,IOU," 916,131 "," 31,182,483 "," 1,124,621 ",,,
AEP Texas North Company,American Electric Power Co Inc,Texas,IOU," 200,129 "," 10,976,863 "," 234,064 ",,,
CenterPoint Energy,CenterPoint Energy Inc,Texas,IOU," 2,811,820 "," 106,013,676 "," 3,195,837 ",,,
El Paso Electric Co,El Paso Electric Co,Texas,IOU," 352,088 "," 6,834,389 "," 701,828 ",,,
Entergy Texas Inc,Entergy Corp,Texas,IOU," 519,216 "," 21,269,743 "," 1,958,127 ",,,
Oncor Electric Delivery Company LLC,Sempra Energy,Texas,IOU," 4,010,973 "," 162,339,107 "," 4,907,351 ",,,
Southwestern Electric Power Co,American Electric Power Co Inc,Texas,IOU," 191,763 "," 6,920,872 "," 621,604 ",,,
Southwestern Public Service Co,Xcel Energy Inc,Texas,IOU," 281,097 "," 13,648,163 "," 1,028,123 ",,,
Texas-New Mexico Power Co,TXNM Energy Inc,Texas,IOU," 277,003 "," 17,128,817 "," 414,995 ",,,
PacifiCorp,Berkshire Hathaway Inc,Utah,IOU," 1,056,003 "," 27,138,091 "," 2,689,669 ",,,
Green Mountain Power Corp,Green Mountain Power Corp,Vermont,IOU," 275,494 "," 4,085,593 "," 745,862 ",,,
Appalachian Power Co,American Electric Power Co Inc,Virginia,IOU," 549,270 "," 14,307,492 "," 1,962,841 ", 52 ," 303,224 "," 1,425 "
Kentucky Utilities Co,PPL Corp,Virginia,IOU," 27,495 "," 627,132 "," 84,045 ",,,
Virginia Electric & Power Co,Dominion Energy Inc,Virginia,IOU," 2,655,130 "," 94,723,352 "," 9,396,224 ", 255 ," 5,686,174 "," 38,746 "
Avista Corp,Avista Corp,Washington,IOU," 274,115 "," 5,880,681 "," 673,927 ",,,
PacifiCorp,Berkshire Hathaway Inc,Washington,IOU," 137,263 "," 4,112,311 "," 414,501 ",,,
Puget Sound Energy Inc,Puget Energy Inc,Washington,IOU," 1,238,151 "," 23,469,417 "," 3,010,940 ", 115 ," 2,307,812 "," 18,630 "
Appalachian Power Co,American Electric Power Co Inc,West Virginia,IOU," 418,138 "," 11,618,443 "," 1,500,085 ",,,
Black Diamond Power Co,Black Diamond Power Co,West Virginia,Private," 3,933 "," 46,282 "," 6,925 ",,,
Monongahela Power Co,FirstEnergy Corp,West Virginia,IOU," 397,195 "," 12,416,216 "," 1,286,154 ",,,
Potomac Edison Co (The),FirstEnergy Corp,West Virginia,IOU," 157,242 "," 3,791,614 "," 414,690 ",,,
Wheeling Power Co,American Electric Power Co Inc,West Virginia,IOU," 41,240 "," 4,963,510 "," 413,065 ",,,
Consolidated Water Power Co,Billerudkorsnas Inc,Wisconsin,IOU, 91 ," 433,065 "," 26,957 ",,,
Dahlberg Light & Power Co,Dahlberg Light & Power Co,Wisconsin,IOU," 12,258 "," 105,963 "," 12,852 ",,,
Madison Gas & Electric Co,MGE Energy Inc,Wisconsin,IOU," 168,932 "," 3,153,966 "," 484,587 ",,,
Northern States Power Co (Wisconsin),Xcel Energy Inc,Wisconsin,IOU," 262,374 "," 6,595,164 "," 778,080 ",,,
Northwestern Wisconsin Electric Co,Northwestern Wisconsin Electric Co,Wisconsin,IOU," 15,034 "," 176,925 "," 21,446 ",,,
Pioneer Power & Light Co,Pioneer Power & Light Co,Wisconsin,Private," 2,278 "," 24,013 "," 3,784 ",,,
Superior Water Light & Power Co,ALLETE Inc,Wisconsin,IOU," 15,691 "," 1,023,802 "," 94,455 ",,,
Westfield Electric Co,Westfield Electric Co,Wisconsin,Private, 795 ," 13,290 "," 2,310 ",,,
Wisconsin Electric Power Co,WEC Energy Group Inc,Wisconsin,IOU," 1,170,318 "," 23,112,557 "," 3,327,195 ",,,
Wisconsin Power & Light Co,Alliant Energy Corp,Wisconsin,IOU," 501,644 "," 10,974,245 "," 1,353,780 ",,,
Wisconsin Public Service Corp,WEC Energy Group Inc,Wisconsin,IOU," 467,910 "," 10,802,782 "," 1,205,042 ",,,
Black Hills Power Inc,Black Hills Corp,Wyoming,IOU," 2,637 "," 177,506 "," 18,354 ",,,
Cheyenne Light Fuel & Power Co,Black Hills Corp,Wyoming,IOU," 45,390 "," 2,190,151 "," 217,792 ",,,
MDU Resources Group Inc,MDU Resources Group Inc,Wyoming,IOU," 17,524 "," 293,724 "," 30,703 ",,,
NorthWestern Energy Montana,NorthWestern Corp,Wyoming,IOU, 683 ," 30,911 "," 5,864 ",,,
PacifiCorp,Berkshire Hathaway Inc,Wyoming,IOU," 144,765 "," 8,758,784 "," 775,847 ",,,
,,,," 117,521,969 "," 2,816,817,867 "," 308,104,828 ",,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
